wavelength      radiance
11.00110       6.51519E+00
10.98901       6.62386E+00
10.97695       6.74999E+00
10.96491       6.77949E+00
10.95290       6.76847E+00
10.94092       6.74771E+00
10.92896       6.77469E+00
10.91703       6.80777E+00
10.90513       6.79933E+00
10.89325       6.77108E+00
10.88139       6.77122E+00
10.86957       6.77990E+00
10.85776       6.69450E+00
10.84599       6.61362E+00
10.83424       6.68607E+00
10.82251       6.71089E+00
10.81081       6.66637E+00
10.79914       6.73890E+00
10.78749       6.81587E+00
10.77586       6.81039E+00
10.76426       6.79801E+00
10.75269       6.81050E+00
10.74114       6.81895E+00
10.72961       6.81410E+00
10.71811       6.81501E+00
10.70664       6.81608E+00
10.69519       6.81128E+00
10.68376       6.80450E+00
10.67236       6.79391E+00
10.66098       6.79158E+00
10.64963       6.78993E+00
10.63830       6.76518E+00
10.62699       6.73994E+00
10.61571       6.75728E+00
10.60445       6.76580E+00
10.59322       6.73508E+00
10.58201       6.71717E+00
10.57082       6.71988E+00
10.55966       6.64487E+00
10.54852       6.53175E+00
10.53741       6.59785E+00
10.52632       6.72477E+00
10.51525       6.76243E+00
10.50420       6.74654E+00
10.49318       6.69674E+00
10.48218       6.68020E+00
10.47120       6.68285E+00
10.46025       6.72389E+00
10.44932       6.80084E+00
10.43841       6.81919E+00
10.42753       6.80337E+00
10.41667       6.81665E+00
10.40583       6.84507E+00
10.39501       6.85430E+00
10.38422       6.84868E+00
10.37344       6.83539E+00
10.36269       6.79280E+00
10.35197       6.74147E+00
10.34126       6.73356E+00
10.33058       6.74934E+00
10.31992       6.74902E+00
10.30928       6.72237E+00
10.29866       6.67084E+00
10.28807       6.64409E+00
10.27749       6.63671E+00
10.26694       6.63982E+00
10.25641       6.63606E+00
10.24590       6.60477E+00
10.23541       6.63075E+00
10.22495       6.68669E+00
10.21450       6.71752E+00
10.20408       6.72968E+00
10.19368       6.71509E+00
10.18330       6.71079E+00
10.17294       6.71171E+00
10.16260       6.69803E+00
10.15228       6.69463E+00
10.14199       6.68870E+00
10.13171       6.67588E+00
10.12146       6.65829E+00
10.11122       6.61917E+00
10.10101       6.59334E+00
10.09082       6.57497E+00
10.08065       6.52608E+00
10.07049       6.48445E+00
10.06036       6.44826E+00
10.05025       6.40846E+00
10.04016       6.37190E+00
10.03009       6.29707E+00
10.02004       6.22043E+00
10.01001       6.14076E+00
10.00000       6.05846E+00
9.99001       6.02353E+00
9.98004       5.96514E+00
9.97009       5.87570E+00
9.96016       5.79174E+00
9.95025       5.69933E+00
9.94036       5.61191E+00
9.93049       5.53776E+00
9.92064       5.48504E+00
9.91080       5.37114E+00
9.90099       5.20320E+00
9.89120       5.09767E+00
9.88142       5.05172E+00
9.87167       4.98262E+00
9.86193       4.85427E+00
9.85222       4.79333E+00
9.84252       4.76917E+00
9.83284       4.64449E+00
9.82318       4.50332E+00
9.81354       4.44686E+00
9.80392       4.40639E+00
9.79432       4.35305E+00
9.78474       4.31581E+00
9.77517       4.27474E+00
9.76562       4.23453E+00
9.75610       4.21514E+00
9.74659       4.20222E+00
9.73710       4.16398E+00
9.72763       4.11526E+00
9.71817       4.11134E+00
9.70874       4.16568E+00
9.69932       4.19355E+00
9.68992       4.16814E+00
9.68054       4.12350E+00
9.67118       4.04885E+00
9.66184       3.93547E+00
9.65251       3.82031E+00
9.64320       3.69726E+00
9.63391       3.55411E+00
9.62464       3.39442E+00
9.61539       3.26577E+00
9.60615       3.58998E+00
9.59693       4.62295E+00
9.58773       5.58033E+00
9.57854       5.65755E+00
9.56938       5.10634E+00
9.56023       4.53292E+00
9.55110       4.07696E+00
9.54198       3.72927E+00
9.53289       3.59074E+00
9.52381       3.49824E+00
9.51475       3.36381E+00
9.50570       3.29866E+00
9.49668       3.28838E+00
9.48767       3.32717E+00
9.47867       3.37060E+00
9.46970       3.41667E+00
9.46074       3.57377E+00
9.45180       3.72367E+00
9.44287       3.74325E+00
9.43396       3.77590E+00
9.42507       3.94721E+00
9.41620       4.23658E+00
9.40734       4.58191E+00
9.39850       4.91835E+00
9.38967       5.09180E+00
9.38086       5.21659E+00
9.37207       5.57194E+00
9.36330       5.91194E+00
9.35454       6.09314E+00
9.34579       6.28040E+00
9.33707       6.38193E+00
9.32836       6.37133E+00
9.31966       6.30533E+00
9.31099       6.17107E+00
